NM_001271560,LOC389895
NM_001320037,LOC730098
NM_001320038,LOC730098
NM_001386512,LOC102725191
NM_001386513,LOC102725191
NM_001386514,LOC102725191
NM_001395505,
NM_001370704,LOC400499
NM_001395920,
NM_001395929,
NM_001375657,LOC102723971
NM_001195535,LOC100505841
NM_001384597,LOC105372440
NM_001382497,LOC100509620
NM_001257362,LOC100288966
NM_001368249,LOC102724788
NM_001368250,LOC102724788
NM_001368242,LOC102724770
NM_001347681,LOC389831
NM_001242480,LOC389831
NM_001368237,LOC102723655
NM_001368231,LOC102723713
NM_001363770,LOC102723996
NM_001386820,SMIM34B
NM_001363761,GATD3B
NM_001363758,GATD3B
NM_001363760,GATD3B
NM_001320643,SIK1B
NM_001368238,LOC102724159
NM_001370368,LOC647264
NM_001394030,MIEF1
NM_001394149,MKKS
NM_001394148,MKKS
NM_001369869,KCNE1B
NM_001330065,KCNE1B
NM_001320646,U2AF1L5
NM_001320650,U2AF1L5
NM_001320651,U2AF1L5
NM_001320648,U2AF1L5
NM_001314050,CRYAA2
NM_001320719,CRYAA2
NM_001354010,CBSL
NM_001354009,CBSL
NM_001354012,CBSL
NM_001354007,CBSL
NM_001354006,CBSL
NM_001321073,CBSL
NM_001354008,CBSL
NM_001354015,CBSL
NM_001354014,CBSL
NM_001394152,SMIM11B
NM_001313692,SMIM11B
NM_001394150,SMIM11B
NM_001394151,SMIM11B
NM_001394153,SMIM11B
NM_001364711,FAM243B
NM_001323075,LOC101059915
NM_001355406,ZNF724
NM_001349750,PDE8B
NM_001376062,PDE8B
NM_001376072,PDE8B
NM_001349752,PDE8B
NM_001349753,PDE8B
NM_001376067,PDE8B
NM_001376068,PDE8B
NM_001395917,
NM_001293069,CHN2
NM_199189,ATR3
NM_001194954,MATR3
NM_001282278,MATR3
NM_001378785,LOC100421372
NM_001378790,LOC100421372
NM_001395862,
NM_001370186,LOC102724488
NM_001370185,LOC102724488
NM_001370184,LOC102724488
NM_001370183,LOC102724488
NM_001370182,LOC102724488
NM_001382446,LOC102723623
NM_001365307,LOC112694756
NM_001365304,LOC112694756
NM_001365305,LOC112694756